trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
67,0,67,0,125.71672366699204,126.69880308303982,126.7149315001443,down,1,0.43187241442501545,-5,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
68,0,68,0,127.14554816717282,128.15067145833746,128.15067145833746,up,1,0.7304774983786047,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
69,0,69,0,128.90023954212666,129.90019395807758,129.90019395807758,down,1,0.5679822908714414,4,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
70,0,70,0,130.50045270798728,131.50035191699862,131.50035191699862,up,1,0.635402456857264,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
71,0,71,0,132.16743062529713,133.167880916968,133.167880916968,up,1,0.6215134565718472,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
72,0,72,0,133.81688775029033,134.8171878750436,134.8171878750436,down,1,0.766037249006331,-5,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
73,0,73,0,135.60074800020084,136.60032362537459,136.60032362537459,up,1,0.6577057065442204,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
74,0,74,0,137.28384862514213,138.28391000023112,138.28391000023112,up,1,0.8222269145771861,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
75,0,75,0,139.13379445811734,140.1336342082359,140.1336342082359,up,1,0.5989995826967061,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
76,0,76,0,140.75066808331758,141.75055200001225,141.75055200001225,up,1,0.5751890405081213,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
77,0,77,0,142.35025083320215,143.3511017500423,143.3511017500423,up,1,0.6433664578944445,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
78,0,78,0,144.01858666725457,145.01922733336687,145.01922733336687,up,0,0.7415003315545619,-2,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
